German,English
ich,I
sie,you
das,the
ist,is
du,you
nicht,Not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
ein,a 
in,in
ja,Yes
mir,me
mit,with
wie,how
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
so,so
hat,has
hier,here
haben,to have
für,for
sind,are
war,was
von,from
wenn,if
dich,you
ihr,you
nein,no
habe,have
an,on
bin,am
noch,still
nur,just
da,there
dir,to you
sich,itself
einen,a
uns,us
hast,have
dem,to the
kann,can
gut,Well
auch,even
schon,nice
als,as
sein,being
mal,just
jetzt,now
ihn,him
dann,then
aus,the end
meine,my
um,around
im,in the
wird,will
mein,my
bist,are you
doch,after all
alles,everything
weiß,White
keine,none
oder,or
nach,after
s,S
nichts,nothing
man,one
muss,Must
werden,will
will,want
ihnen,them
geht,goes
wo,Where
etwas,some
oh,Oh
mehr,more
bei,at
also,so
bitte,You're welcome
immer,always
hab,have
warum,why
vor,Before
los,Come on
können,be able
wieder,again
sagen,to say
machen,do
danke,Thanks
sehr,very
alle,Everyone
denn,then
mann,husband
tun,do
ihm,him
zum,to the
gehen,walk
sehen,see
vielleicht,perhaps
einem,a
wer,who
ihre,your
diese,this
euch,you
einer,one
komm,come over
über,about
gibt,are
okay,OK
wissen,to know
deine,your
müssen,must
soll,target
werde,will
nie,never
wirklich,really
hey,hey
kein,no
viel,a lot of
weg,away
würde,would
tut,does
am,at the
des,of
einfach,simply
leben,Life
hatte,would have
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,with it
ganz,all
wäre,would
wollte,wanted
weißt,white
ok,OK
sicher,for sure
gesagt,said
frau,woman
nun,well
bis,until
wurde,would
leid,suffering
na,n / A
kannst,can
macht,power
dieser,this
zurück,return
lassen,to let
hallo,Hello
meinen,mean
gott,God
seine,his
hätte,would have
zwei,two
könnte,could
genau,Exactly
waren,were
zur,to the
lass,let
klar,clear
morgen,morning
leute,people
vater,father
schön,beautiful
glaube,believe
mr.,mr.
ab,away
gerade,straight
tag,Day
gesehen,seen
reden,talk
wohl,probably
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,by
ob,if
keinen,no
mutter,mother
raus,Out
gemacht,did
paar,pair
mach,make
passiert,happens
dachte,thought
besser,better
musst,must
wieso,how come
sir,sir
dieses,this
selbst,even
gehört,heard
möchte,would like
ohne,without
hör,listening
her,from
sag,say
meiner,mine
anderen,others
helfen,help
nacht,night
finden,Find
diesen,this
gute,quality
wirst,become
lange,Long
natürlich,Naturally
ach,Oh
meinem,my
gar,even
ins,into the
sei,be
dort,there
weiter,continue
geben,give
seit,since
gleich,even
sagt,says
recht,Law
ihren,their
richtig,correct
ordnung,order
vom,from the
hören,Listen
sieht,sees
davon,from that
dafür,Therefore
geh,walk
diesem,this
wegen,because of
hause,home
sollten,should
mädchen,girl
hin,there
sollen,must
abend,Eve
haus,House
denke,think
viele,lots
drei,three
deinen,yours
freund,friend
guten,good
unser,our
warte,wait
machst,make
menschen,People
essen,meal
angst,anxiety
bleiben,stay
zusammen,together
welt,world
unter,under
habt,have
schnell,fast
andere,other
tot,dead
getan,did
darf,allowed
erst,first
rein,pure
stimmt,Right
nehmen,to take
kinder,children
eines,one
glauben,believe
bringen,bring
ganze,whole
genug,enough
scheiße,crap
brauchen,to need
gegen,versus
moment,moment
junge,Boy
steht,stands
sonst,otherwise
musik,music
arbeit,job
seid,are
ihrer,of their
fragen,questions
herr,Mr
dabei,included
heißt,called
familie,family
warten,wait
niemand,nobody
sofort,right away
bevor,before
jahre,years
einmal,once
problem,problem
sohn,son
wann,when
